Titles,Keywords,Abstract,tipo,tema
The family-relatedness of work decisions: A framework and agenda for theory and research,Family-relatedness of work decisions Work–family decision making Work–family conflict Work–family enrichment,Due to global trends such as the increased labor force participation of women the growing presence of dual-earner couples and single parents in the labor force and changing values regarding the importance of life balance individuals' work decisions are being increasingly influenced by family considerations. However the “family-relatedness” of work decisions or the extent to which family situations are considered in these decisions has not been systematically examined. We propose a framework to examine the family-relatedness of work decisions and a broad agenda for future theory and research to test and extend the framework.,0,Ciencias Sociales
Psychological resilience during the COVID-19 lockdown,COVID-19 Pandemic resilience lockdown mental health,Some individuals are more psychologically resilient to adversity than others an issue of great importance during the emerging mental health issues associated with the COVID-19 pandemic. To identify factors that may contribute to greater psychological resilience during the first weeks of the nation-wide lockdown efforts we asked 1004 U.S. adults to complete assessments of resilience mental health and daily behaviors and relationships. Average resilience was lower than published norms but was greater among those who tended to get outside more often exercise more perceive more social support from family friends and significant others sleep better and pray more often. Psychological resilience in the face of the pandemic is related to modifiable factors.,0,Ciencias Sociales
Identity Theory,Gender Identity Identity Theory Moral Identity Affective Commitment Social Identity Theory,Identity theory has developed into an important theoretical framework within sociological social psychology. In this chapter we provide an overview of the central ideas within the theory such as identity verification and identity salience the different methodological approaches (survey and laboratory research) that have been used to study identities and how to measure key concepts. We also review the substantive issues that have advanced the theory such as multiple identities and the role of emotions in the identity process as well as how the theory has been applied to other sociological areas of investigation such as violence research and the sociology of education. Finally we discuss substantive areas for future work such as the study of identity formation and change and we look to how identity theory can be advanced by linking it to other social psychological theories such as affect control theory expectations states theory and social identity theory.,0,Ciencias Sociales
Commitment Identity Salience and Role Behavior: Theory and Research Example,Identity Theory Role Performance Religious Activity Religious Identity Religious Commitment,The generic indeed the defining task of social psychology is to investigate the interrelationships among society the social person and social behavior. Every theoretical perspective or framework in social psychology approaches this immense task by narrowing it by selecting particular dimensions of society persons and behavior as especially worthy of attention. While the ultimate goal for social psychology may be a single unified theoretical framework sufficiently comprehensive to incorporate “all” the “important” aspects etc. of the defining conceptual variables of social psychology1 that goal is not in sight. In the meantime and before the millenium all social psychological perspectives or frameworks are partial selective in their approaches to the world they hope to explicate. That assertion is true of symbolic interactionism the theoretical framework out of which the theory examined in this chapter develops although perhaps less so than for most contemporary frameworks in social psychology.,0,Ciencias Sociales
Measures of Perrow's Work Unit Technology: An Empirical Assessment and a New Scale,Role Performance empirical measures theoretical constructs greater ability,Six instruments previously used to assess Perrow's dimensions of work unit technology are evaluated. The findings suggest convergent validity across measures of the analyzability and exceptions dimensions. A new instrument is developed that has somewhat greater ability to differentiate among work units and that improves the fit between the theoretical constructs and their empirical measures.,0,Ciencias Sociales
Changes to the Work–Family Interface During the COVID-19 Pandemic: Examining Predictors and Implications Using Latent Transition Analysis,COVID-19 work–family conflict and enrichment latent transition analysis technostress supervisor support and compassion,Employees around the world have experienced sudden significant changes in their work and family roles due to the COVID-19 pandemic. However applied psychologists have limited understanding of how employee experiences of work–family conflict and enrichment have been affected by this event and what organizations can do to ensure better employee functioning during such societal crises. Adopting a person-centered approach we examine transitions in employees’ work–family interfaces from before COVID-19 to after its onset. First in Study 1 using latent profile analysis (N = 379 nonpandemic data) we identify profiles of bidirectional conflict and enrichment including beneficial (low conflict and high enrichment) active (medium conflict and enrichment) and passive (low conflict and enrichment). In Study 2 with data collected before and during the COVID-19 pandemic we replicate Study 1 profiles and explore whether employees transition between work–family profiles during the pandemic. Results suggest that although many remain in prepandemic profiles positive (from active/passive to beneficial) and negative (from beneficial to active/passive) transitions occurred for a meaningful proportion of respondents. People were more likely to go through negative transitions if they had high segmentation preferences engaged in emotion-focused coping experienced higher technostress and had less compassionate supervisors. In turn negative transitions were associated with negative employee consequences during the pandemic (e.g. lower job satisfaction and job performance and higher turnover intent). We discuss implications for future research and for managing during societal crises both present and future.,0,Ciencias Sociales
Organizing and the Process of Sensemaking,Sensemaking identity studies sensenaking perspective,Sensemaking involves turning circumstances into a situation that is comprehended explicitly in words and that serves as a springboard into action. In this paper we take the position that the concept of sensemaking fills important gaps in organizational theory. The seemingly transient nature of sensemaking belies its central role in the determination of human behavior whether people are acting in formal organizations or elsewhere. Sensemaking is central because it is the primary site where meanings materialize that inform and constrain identity and action. The purpose of this paper is to take stock of the concept of sensemaking. We do so by pinpointing central features of sensemaking some of which have been explicated but neglected some of which have been assumed but not made explicit some of which have changed in significance over time and some of which have been missing all along or have gone awry. We sense joint enthusiasm to restate sensemaking in ways that make it more future oriented more action oriented more macro more closely tied to organizing meshed more boldly with identity more visible more behaviorally defined less sedentary and backward looking more infused with emotion and with issues of sensegiving and persuasion. These key enhancements provide a foundation upon which to build future studies that can strengthen the sensemaking perspective.,0,Ciencias Sociales
Where Do I Go from Here? Sensemaking and the Construction of Growth-Based Stories in the Wake of Denied Promotions,Sensemaking Growth-Based career proactivity theorical contributions,Denied promotions occur when individuals go up for but do not receive promotions at work. The extant literature focuses on the negative implications of denied promotions. We argue in contrast that individuals can ultimately benefit from denied promotions and experience positive outcomes when they construct growth-based stories about the event. Drawing on a sensemaking perspective we articulate when individuals are likely to construct growth-based denied promotion stories highlighting the identity and social conditions that support such stories. We then link growth-based denied promotion stories to the positive behavioral outcomes of work engagement and career proactivity via increases in resilience in their career identities. Finally we situate denied promotions in the broader context of the career and address how responses to denied promotions are influenced by past responses to career setbacks and may shape future responses to career setbacks. Our model provides theoretical contributions to the literature on denied promotions careers positive organizational scholarship and sensemaking.,0,Ciencias Sociales
Betwixt and between identities: Liminal experience in contemporary careers,Identity Liminality Career Identity growth,Liminality defined as a state of being betwixt and between social roles and/or identities is the hallmark of an increasingly precarious and fluctuating career landscape. The generative potential of the liminality construct however has been restricted by six key assumptions stemming from the highly institutionalized nature of the rites of passage originally studied. As originally construed liminality (1) implied both an objective state and the subjective experience of feeling betwixt and between and was (2) temporary (3) obligatory (4) guided by elders and/or supported by a community of fellow liminars (5) rooted in culturally legitimate narratives (6) and led to a progressive outcome i.e. the next logical step in a role hierarchy. By recasting these assumptions as variables we improve the construct’s clarity precision and applicability to contemporary liminal experiences that are increasingly under-institutionalized. We illustrate the utility of our updated conceptualization by arguing that under-institutionalized liminality is both more difficult to endure and more fertile for identity growth than the highly institutionalized experiences that gave rise to the original notion. Drawing from adult development theory we further propose that for under-institutionalized experiences to foster identity growth the identity processes involved need to be more akin to identity play than identity work. We discuss the theoretical implications of our ideas for research on liminality identity and careers.,0,Ciencias Sociales
Gender Differences in Age at Onset of Schizophrenia,studies females males gender differencesschizophrenia,We present the results of a review of the literature concerning gender differences in age at the onset of schizophrenia. In view of the very consistent finding that the first admission to hospital for schizophrenia occurs on average earlier in men than in women we examined the question whether this is due to the fact that the psychosis manifests itself earlier in men or that the period between first manifestation and admission to hospital is shorter than in women. By means of a metaanalytic approach we then looked for evidence for the existence of local or temporal variations in the degree of gender difference. Lastly we dealt with the question whether gender differences in age of onset can be observed in other functional psychoses.,0,Ciencias Sociales
