Titles,Keywords,Abstract,tipo,tema
Attachment in the Classroom,"Attachment
Achievement
School bonding
Teacher–student relationship",Attachment influences students’ school success. This is true of students’ attachment to their parents as well as to their teachers. Secure attachment is associated with higher grades and standardized test scores compared to insecure attachment. Secure attachment is also associated with greater emotional regulation social competence and willingness to take on challenges and with lower levels of ADHD and delinquency each of which in turn is associated with higher achievement. These effects tend to be stronger for high-risk students. In this era of accountability enhancing teacher–student relationships is not merely an add-on but rather is fundamental to raising achievement. Understanding the role of attachment in the classroom will help educators be more effective particularly with challenging students. Twelve suggestions to improve teacher–student relationships and school bonding are provided.,0,Ciencias exactas
Building Links Between Early Socioeconomic Status Cognitive Ability and Math and Science Achievement,"school achievement
structural equation modeling
research
gaps
environment",The present study examined whether and how socioeconomic status (SES) predicts school achievement in science technology engineering and math (STEM) using structural equation modeling and data from the National Institute of Child Health and Human Development Study of Child Care and Youth Development. The present inquiry addresses gaps in previous research linking SES and STEM achievement in high school. Results indicate that maternal education predicts the child’s early environment which itself predicts the development of executive function (EF) and language and thereby STEM achievement. Moreover children’s language ability and EF development influenced higher-order cognitive skills such as relational reasoning planning and basic calculation skills. However only relational reasoning strongly predicted high school math and science achievement suggesting that relational reasoning but not planning and calculation skills was central to STEM thinking and learning.,0,Ciencias exactas
SELF-EFFICACY BELIEFS MOTIVATION RACE AND GENDER IN MIDDLE SCHOOL SCIENCE,"self-efficacy
science motivation
function
science achievement",The purpose of this study was to discover whether the science motivation beliefs of middle school students (N = 262) vary as a function of their gender or race/ethnicity and to determine whether science self-efficacy beliefs predict science achievement when motivation variables shown to predict achievement in other academic areas are controlled. Girls reported stronger science self-efficacy and self-efficacy for self-regulation and they received higher grades in science. Boys had stronger performance-approach goals. White students had stronger self-efficacy and achievement and African American students reported stronger task goals. Self-efficacy was the only motivation variable to predict the science achievement of girls boys and White students. Self-efficacy and self-concept predicted the science achievement of African American students. Results are interpreted from the perspective of Bandura’s social cognitive theory.,0,Ciencias exactas
The quality of teacher–student interactions: Associations with first graders' academic and behavioral outcomes,"Teacher–student interactions
Classroom quality
First grade",The associations between the quality of teacher–student interactions and first grade academic and adaptive behavior outcomes were examined in a study of 106 Portuguese students in 64 first grade classrooms. Students' vocabulary print concepts math and adaptive skills were assessed both at the end of preschool and in first grade. Classrooms were observed in the spring of first grade. After taking into account family risk factors and preschool skills the quality of teacher–student interactions particularly in terms of classroom organization was positively associated with students' first grade vocabulary and print concepts. In addition classroom quality predicted number identification outcomes differently depending on student skills prior to school entry. Students with lower preschool math skills seemed to benefit from higher quality teacher–student interactions. These findings provide further support for the unique contribution of the quality of teacher–student interactions in first grade and suggest that it may be an important mechanism to improve academic skills.,0,Ciencias exactas
An investigation of twenty-first century learners’ competencies in China,"The twenty-first century learner
China
Competencies
Competency-based curriculum
Teacher training",This paper reports a study on developing an assessment inventory of Chinese learners’ competencies as needed for the twenty-first century. In creating the instrument three relevant twenty-first century competency frameworks were referenced: from the OECD the European Council and the USA. The preliminary version of this instrument which consists of 55 items was administered to 732 Shanghai students from three types of K-12 schools. To investigate the factors and the structure of the competencies that young Chinese learners’ in the twenty-first century should possess exploratory factor analysis and structural equation modeling were employed. This resulted in a selection of 42 items in seven categories. These were conceptions of learning competencies in ICT problem solving communication critical thinking cross-cultural communication and advanced-level literacy. Based on these findings the status of students’ twenty-first century competencies in Shanghai were investigated in relation to gender region and grade. The implications of the findings were discussed such as balancing the learning resource and teacher deployment in differently developed regions as well as guiding the implementation of a competency-based curriculum in China.,0,Ciencias exactas
Measuring mathematics self-efficacy as a learning outcome,"mathematics self-efficacy
post-compulsory
Rasch analysis",We report the construction and validation of a self-report ‘Mathematics self-efficacy (MSE)’ instrument designed to measure this construct as a learning outcome of students following post-compulsory mathematics programmes. The sample ranged across two programmes: a traditional preparation for university study in mathematical subjects (Advanced level) and an innovative ‘modelling’-based programme intended to widen participation in mathematics through use of technology and coursework. We report Rasch measurement and Generalised Linear modelling analyses of large scale survey data and occasionally we draw on learners' interviews for triangulation. We found that MSE is related to students' mathematical attainment and gender as well as their dispositions to further study mathematics. We also show significant differences between students' development of MSE in the two programmes. In conclusion we propose that MSE deserves further attention as a measure of valued learning outcomes.,1,Ciencias exactas
Self-evaluative and self-efficacy mechanisms governing the motivational effects of goal systems.,"self-evaluative
self-efficacy
performance motivation
self-reactive",Tested the hypothesis that self-evaluative and self-efficacy mechanisms mediate the effects of goal systems on performance motivation. These self-reactive influences are activated through cognitive comparison requiring both personal standards and knowledge of performance. 45 male and 45 female undergraduates performed a strenuous activity with either goals and performance feedback goals alone feedback alone or without either factor. The condition combining performance information and a standard had a strong motivational impact whereas neither goals alone nor feedback alone effected changes in motivation. When both comparative factors were present the evaluative and efficacy self-reactive influences predicted the magnitude of motivation enhancement. The higher the self-dissatisfaction with substandard performance and the stronger the perceived self-efficacy for goal attainment the greater was the subsequent intensification of effort. When one comparative factor was lacking the self-reactive influences were differentially related to performance motivation depending on the nature of the partial information and on the type of subjective comparative structure imposed on the activity.,0,Ciencias exactas
The relationship of mathematics self-efficacy expectations to the selection of science-based college majors,"self-efficacy
math-based
behavior
math-related",The major purpose of the present study was to investigate the relationship of mathematics self-efficacy expectations to the selection of science-based majors in college males and females. Based on results obtained from a pilot sample of college students an instrument assessing mathematics self-efficacy expectations was developed. The items used in the mathematics self-efficacy scale included everyday math tasks math problems and math-based college courses. Subjects 153 female and 109 male undergraduates completed the mathematics self-efficacy scale the Bem Sex Role Inventory an adapted version of the Fennema-Sherman Mathematics Attitudes Scales and a questionnaire concerning their college major choices. Results indicated that mathematics self-efficacy expectations were significantly related to the extent to which students selected science-based college majors thus supporting the postulated role of cognitive mediational factors in educational and career choice behavior. In addition the math-related self-efficacy expectations of college males were significantly stronger than were those of college females. Implications of the findings for the process of educational and career decision-making are discussed.,0,Ciencias exactas
Applications of Self-Efficacy Theory to the Career Assessment of Women,"self-efficacy
scientific—technical
vocational interests",This article reviews the applicability of self-efficacy theory to the career assessment of women. The article begins by summarizing Bandura's self-efficacy theory including its particular relevance to women's career development. Next the domains of occupational scientific—technical and mathematics self-efficacy are reviewed followed by those represented by Holland's RIASEC model and Rooney and Osipow's (1992 Osipow Temple & Rooney 1993) Task-Specific Occupational Self-Efficacy Scale (TSOSS). The article concludes with a review of work on the relationship of self-efficacy to vocational interests and on counseling implications of self-efficacy theory.,0,Ciencias exactas
“I would rather die”: reasons given by 16-year-olds for not continuing their study of mathematics,"participation
attitudes
post-compulsory",Improving participation rates in specialist mathematics after the subject ceases to be compulsory at age 16 is part of government policy in England. This article provides independent and recent support for earlier findings concerning reasons for non-participation based on free response and closed items in a questionnaire with a sample of over 1500 students in 17 schools close to the moment of choice. The analysis supports findings that perceived difficulty and lack of confidence are important reasons for students not continuing with mathematics and that perceived dislike and boredom and lack of relevance are also factors. There is a close relationship between reasons for non-participation and predicted grade and a weaker relation to gender. An analysis of the effects of schools demonstrates that enjoyment is the main factor differentiating schools with high and low participation indices. Building on discussion of these findings ways of improving participation are briefly suggested.,0,Ciencias exactas
A Cross-National Comparison Study on the Accuracy of Self-Efficacy Beliefs of Middle-School Mathematics Students,"calibration
cross-national study
mathematics self-efficacy
middle-school students
self-efficacy",In this cross-national study the authors compared mathematics self-efficacy beliefs of American (n = 107) and Taiwanese (n = 188) middle-school students for level and calibration (accuracy and bias). Taiwanese students surpassed Americans in math achievement. American students evidenced slightly higher self-efficacy levels for easy math items but a steeper decline for moderately difficult items than did Taiwanese students. Nationality differences in level of self-efficacy diminished for difficult math items. For calibration American students reported less accurate self-efficacy beliefs than did Taiwanese students for all items although the accuracy of both groups declined with items of higher difficulty. Postperformance self-evaluation judgments of Taiwanese students decreased as item difficulty increased whereas American students' judgments decreased from easy items to moderate items but remained unchanged with difficult items. The authors found no effects for gender or gender-nationality interactions on any dependent measure.,0,Ciencias exactas
Effect Displays for Generalized Linear Models,"models-especially
model
high-order
regression models",Complex statistical models-especially those incorporating interactions among independent variables-are frequently difficult to interpret and such models are used increasingly in social research. This paper describes how to explicate a model by calculating and graphing portions of the fitted response surface. The basic approach is first to identify the high-order terms of the model and then to manipulate the independent variables in each such term over their ranges while fixing other independent variables to typical values. Effect displays of this type are developed for generalized linear models which include linear regression models analysis-of-variance models log-linear models logit models etc. The methods presented here represent an extension of previous work on adjusted means in analysis of variance and analysis of covariance. Standard errors for displayed effects are also considered.,0,Ciencias exactas
An Exploration of the Mathematics Self-Efficacy/Mathematics Performance Correspondence,"relationship
self-efficacy
mathematics-related
performance",This study investigated the relationship between mathematical performance and mathematics self-efficacy attitudes toward mathematics and the choice of mathematics-related majors by 153 college women and 109 college men. Mathematics performance was correlated moderately with mathematics self-efficacy. No support was found for Hackett and Betz's (1981) hypothesis that women's mathematics self-efficacy expectations are unrealistically low compared to men's. Both mathematics performance and mathematics self-efficacy were significantly and positively correlated with attitudes toward mathematics masculine sex-role orientation and a mathematics-related major. Regression analyses supported the superiority of mathematics self-efficacy over mathematics performance and achievement variables in predicting the choice of a mathematics-related major.,0,Ciencias exactas
Enrolment achievement and retention on ‘traditional’ and ‘Use of Mathematics’ pre-university courses,"mathematics programmes
enrolment
tdrop-out
GCSE
AS-level",This paper investigates enrolment attainment and drop-out rates for two different English pre-university advanced mathematics AS-level courses a ‘traditional’ and an innovative ‘Use of Mathematics’ pre-university course. Very different student profiles were found for those enrolled on each course and a model of attainment at the pre-university level showed a relatively complex relationship with prior achievement at the end of compulsory schooling. Although those pupils who had relatively high prior achievement tended also to achieve relatively highly on the pre-university courses this relationship was not evident for lower scores. Those pupils with ‘mid-range’ prior attainment tended to make the smallest gains. Taking prior attainment into account the difference in attainment outcomes between the two courses is small. However these courses do differ with respect to the number of students retained with the ‘Use of Mathematics’ course retaining a significantly higher proportion of the students. Contextual factors are discussed suggesting implications for policy and practice in mathematics education.,0,Ciencias exactas
Mathematics Self-Efficacy Ethnic Identity Gender and Career Interests Related to Mathematics and Science,"self-efficacy
career interest
effect
ethnic identity
gap gender",Four-hundred and fifteen 11th-grade parochial school students were surveyed to assess their mathematics self-efficacy (SE) ethnic identity and career interests in mathematics and science. Path analysis disclosed a direct effect of gender on students' career interest (CI). In addition CI was predicted by mathematics SE and SE was in turn influenced by ethnic identity academic achievement and socioeconomic status. Educational implications are discussed and recommendations are made for further study.,0,Ciencias exactas
Role of self-efficacy and self-concept beliefs in mathematical problem solving: A path analysis.,"self-efficacy
self-concept
Gender
performance",Path analysis was used to test the predictive and mediational role of self-efficacy beliefs in mathematical problem solving. Results revealed that math self-efficacy was more predictive of problem solving than was math self-concept perceived usefulness of mathematics prior experience with mathematics or gender (N = 350). Self-efficacy also mediated the effect of gender and prior experience on self-concept perceived usefulness and problem solving. Gender and prior experience influenced self-concept perceived usefulness and problem solving largely through the mediational role of self-efficacy. Men had higher performance self-efficacy and self-concept and lower anxiety but these differences were due largely to the influence of self-efficacy for gender had a direct effect only on self-efficacy and a prior experience variable. Results support the hypothesized role of self-efficacy in A. Bandura's (1986) social cognitive theory.,0,Ciencias exactas
Mathematics self-efficacy and mathematics performances: The need for specificity of assessment.,"self-efficacy
math-related
confidence
assessed",In this study 391 students were asked to provide 3 types of mathematics self-efficacy judgments: confidence to solve mathematics problems confidence to succeed in math-related courses and confidence to perform math-related tasks. Criterial tasks were solution of math problems and choice of math-related majors. As hypothesized students' reported confidence to solve the problems they were later asked to solve was a more powerful predictor of that performance than was either their confidence to perform math-related tasks or to succeed in math-related courses. Similarly confidence to succeed in math-related courses was a stronger predictor of choice of math-related majors than was either confidence to solve problems or to perform math-related tasks. Results support A. Bandura's (1986) contention that because judgments of self-efficacy are task specific measures of self-efficacy should be tailored to the criterial task being assessed and the domain of functioning being analyzed to increase prediction.,0,Ciencias exactas
Mathematics Self-Efficacy and Mathematical Problem Solving: Implications of Using Different Forms of Assessment,"self-efficacy
assessment
multiple-choice
self-perceptions
performance relationship",The mathematics self-efficacy and problem-solving performance of 327 middle-school students were assessed using two forms of assessment (traditional multiple-choice vs. open-ended fill-in-the-blank). The purpose was to determine whether varying the assessment format would influence students' self-efficacy judgments or alter the relationship between self-efficacy and performance. No differences in self-efficacy resulted from the different forms of assessment Students who took the multiple-choice performance test obtained higher scores than did students who took the open-ended test The latter group had poorer calibration that is the degree to which students' judgments of their capability reflect their actual competence. This finding suggests that students' self-perceptions of their mathematics capability may be less accurate than has previously been reported or that students' familiarity with traditional assessment formats creates an expectancy of a performance task that is multiple choice in nature this expectancy influences self-efficacy judgments regardless of the format used to assess confidence. Differences in the format for assessing self-efficacy and performance altered the predictive utility of self-efficacy judgments. These differences must be accounted for in subsequent studies before researchers can make sound generalizations about the strength of the self-efficacy/performance relationship or the accuracy of students' self-perceptions.,0,Ciencias exactas
SET for success: the supply of people with science technology engineering and mathematics skills,"Skill needs
Capacity building
Labour supply
Education and training needs
Research needs
Critical analysis
Recommendations
Workforce planning",This review stemmed from the UK government’s concern that the supply of high quality scientists and engineers should not constrain the UK’s future research and development and innovation performance. The review identified a number of issues in school further and higher education as well as in the labour market for science and engineering skills that need to be addressed in order to secure a strong future supply of scientists and engineers in the UK. The report focuses on biological sciences physical sciences engineering mathematics and computer science. It follows the development of science and engineering skills through school further and higher education before considering the issues surrounding careers for scientists and engineers in academia and in the labour market more generally. The main issues and the thrust of the key recommendations in each area are detailed in the report.,0,Ciencias exactas
Sources of self-efficacy in mathematics: A validation study,"Sources of self-efficacy
Self-efficacy beliefs
Social cognitive theory
Motivation
Mathematics
Middle school",The purpose of this study was to develop and validate items with which to assess A. Bandura’s (1997) theorized sources of self-efficacy among middle school mathematics students. Results from Phase 1 (N = 1111) were used to develop and refine items for subsequent use. In Phase 2 of the study (N = 824) a 39-item four-factor exploratory model fit best. Items were revised to strengthen psychometric properties. In Phase 3 (N = 803) a 24-item four-factor confirmatory factor model fit best. This final model was invariant across gender and ethnicity. Subscales correlated with self-efficacy self-concept mastery goals and optimism. Results suggest that the sources scale is psychometrically sound and could be adapted for use in other domains.,0,Ciencias exactas
Instrument development tools and activities for measure validation using Rasch models: Part I--instrument development tools.,"Instrument
arguments
development
efforts
measurement",Instrument development is an arduous task that if undertaken with care and consideration can lay the foundation for the development of validity arguments relating to the inferences and decisions that are based on test measures. This article Part I of a two-part series provides an overview of validity concepts and describes how instrument development efforts can be conducted to facilitate the development of validity arguments. Our discussion focuses on documentation of the purpose of measurement creation of test specifications item development expert review and planning of pilot studies. Through these instrument development activities and tools essential information is documented that will feed into the analysis summary and reporting of data relevant to validity arguments discussed in Part II of this series.,0,Ciencias exactas
